,subclass,details
220,10109," Production, processing and preserving of other meat and meat products n.e.c."
221,10201, Sun-drying of fish
222,10202, Artificial dehydration of fish and sea food
223,10203, Radiation preservation of fish and similar food
224,10204, Processing and preserving of fish crustacean and similar foods
225,10205, Processing and canning of fish
226,10206, Processing and canning of frog legs
227,10207, Production of fishmeal for human consumption or animal feed
228,10209," Production, processing and preservation of other fish products n.e.c."
229,10301, Sun-drying of fruit and vegetables
230,10302, Artificial dehydration of fruit and vegetables
231,10303, Radiation preservation of fruit and vegetables
232,10304," Manufacture of fruit or vegetable juices and their concentrates, squashes and powder"
233,10305," Manufacture of sauces, jams, jellies and marmalades"
234,10306," Manufacture of pickles, chutney etc."
235,10307, Canning of fruits and vegetables
236,10308, Manufacture of potato flour & meals and prepared meals of vegetables
237,10309, Preservation of fruit and vegetables n.e.c.
238,10401, Manufacture of hydrogenated oil and vanaspati ghee
239,10402, Manufacture of vegetable oils and fats excluding corn oil
240,10403, Manufacture of edible animal oils and fats
241,10404, Manufacture of fish oil
242,10405, Manufacture of non-edible animal oil and fats
243,10406," Manufacture of oil cakes & meals incl. residual products, e.g. Oleostearin,Palmstearin"
244,10407," Manufacture of non-defatted flour or meals of oilseeds, oilnuts or kernels"
245,10409," Manufacture of other vegetable oil, animal oil and fats n.e.c"
246,10501, Manufacture of pasteurised milk whether or not in bottles/ polythene packs etc. (plain or flavoured)
247,10502," Manufacture of milk-powder, ice-cream powder and condensed milk except baby milk food"
248,10503, Manufacture of baby milk foods
249,10504," Manufacture of cream, butter, cheese, curd, ghee, khoya etc."
250,10505," Manufacture of ice-cream, kulfi etc."
251,10509, Manufacture of other dairy products n.e.c.
252,10611, Flour milling
253,10612, Rice milling
254,10613, Dal (pulses) milling
255,10614," Grain milling other than wheat, rice and dal"
256,10615," Vegetable milling (production of flour or meal of dried leguminous vegetables(except dal), of roots or tubers, or of edible nuts)"
257,10616, Manufacture of cereal breakfast foods obtained by roasting or swelling cereal grains
258,10617," Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits"
259,10618," Manufacture of other readymade mixed powders like idli, gulabjamun etc."
260,10619, Other grain milling and processing n.e.c.
261,10621," Manufacture of starches from rice, potatoes, maize etc."
262,10622, Manufacture of sago and sago products
263,10623," Manufacture of glucose, glucose syrup, maltose etc."
264,10624, Manufacture of gluten
265,10625, Manufacture of tapioca and tapioca substitutes prepared from starch
266,10626, Manufacture of corn oil
267,10629, Manufacture of other starch products n.e.c.
268,10711, Manufacture of bread
269,10712," Manufacture of biscuits, cakes, pastries, rusks etc."
270,10719, Manufacture of other bakery products n.e.c.
271,10721, Manufacture or refining of sugar (sucrose) from sugercane
272,10722, Manufacture of `gurâ€™ from sugarcane
273,10723, Manufacture of `gurâ€™ from other than sugarcane
274,10724, Manufacture of `khandsariâ€™ sugar from sugarcane
275,10725, Manufacture of `khandsariâ€™ suger from other than sugarcane
276,10726, Manufacture of `booraâ€™ and candy from sugarcane
277,10727, Manufacture of `booraâ€™ and candy from other than sugarcane
278,10728, Manufacture of molasses
279,10729," Manufacture of sugar from other sources (juice of palm, suger beet etc.)"
280,10731, Manufacture of cocoa products
281,10732, Manufacture of chocolate and chocolate confectionery
282,10733, Manufacture of sugar confectionery (except sweetmeats)
283,10734, Manufacture sweetmeats includind dairy based sweetmeats
284,10735, Manufacture of chewing gum
285,10736," Preserving in sugar of fruit, nuts, fruit peels and other parts of plants"
286,10739," Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c."
287,10740," Manufacture of macaroni, noodles, couscous and similar farinaceous products"
288,10750, Manufacture of prepared meals and dishes
289,10791, Processing and blending of tea including manufacture of instant tea
290,10792," Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products"
291,10793, Processing of edible nuts
292,10794, Manufacture of malted foods including foods for infants and handicapped
293,10795, Grinding and processing of spices
294,10796," Manufacture of papads, appalam and similar food products"
295,10797," Manufacture of vitaminised high protein flour, frying of dal and other cereals"
296,10798," Processing of salt into food-grade salt, e.g. iodized salt"
297,10799," Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)"
298,10801, Manufacture of cattle feed
299,10802, Manufacture of poultry feed
300,10803," Manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc."
301,10809, Manufacture of other animal feeds n.e.c.
302,11011," Manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, â€œmixed drinksâ€� etc."
303,11012, Manufacture of country liquor
304,11019," Distilling, rectifying and blending of spirits"
305,11020, Manufacture of wines
306,11031, Manufacture of beer
307,11032, Manufacture of malt liquors other than beer
308,11033, Manufacture of malt
309,11039, Manufacture of malt liquors and malt n.e.c.
310,11041, Manufacture of aerated drinks
311,11042, Manufacture of synthetic flavoured concentrates and syrups
312,11043, Manufacture of mineral water
313,11044, Manufacture of ice
314,11045, Manufacture of soft drinks
315,11049, Manufacture of other non-alcoholic beverages n.e.c.
316,12001, Stemming and redrying of tobacco
317,12002, Manufacture of bidi
318,12003," Manufacture of cigarettes, cigarette tobacco"
319,12004, Manufacture of cigars and cheroots
320,12005, Manufacture of snuff
321,12006, Manufacture of zarda
322,12007, Manufacture of catechu(katha) and chewing lime
323,12008, Manufacture of pan masala and related products.
324,12009, Manufacture of other tobacco products including chewing tobacco n.e.c.
325,13111, Preparation and spinning of cotton fiber including blended* cotton
326,13112, Preparation and spinning of silk fiber including blended* silk
327,13113," Preparation and spinning of wool, including other animal hair and blended* wool including other animal hair"
328,13114, Preparation and spinning of man-made fiber including blended* man-made fiber
329,13119," Preparation and spinning of jute, mesta and other natural fibers including blended natural fibers n.e.c. *Blended yarn/fabrics means, yarn/fabrics containing more than 50% of one fiber."
330,13121," Weaving, manufacture of cotton and cotton mixture fabrics."
331,13122," Weaving, manufacture of silk and silk mixture fabrics."
332,13123," Weaving, manufacture of wool and wool mixture fabrics."
