,subclass,details
825,35104, Electric power generation and transmission by nuclear power plants
826,35105, Electric power generation using solar energy
827,35106, Electric power generation using other non conventional sources
828,35107, Transmission of electric energy
829,35109," Collection and distribution of electric energy to households, industrial, commercial and other users n.e.c."
830,35201, Manufacture of gas
831,35202, Disrtibution and sale of gaseous fuels through mains
832,35301," Production, collection and distribution of steam and hot water for heating, power and other purposes"
833,35302, Production and distribution of cooled air and chilled water for cooling purposes
834,35303," Production of ice, including ice for food and non-food (e.g. cooling) purposes"
835,36000," Water collection, treatment and supply"
836,37001, The operation and maintenance of sewer systems
837,37002," Collecting and transporting of human or industrial waste water or rain water by means of sewerage networks, collectors, tanks and other means of transport (sewage vehicles etc.)"
838,37003," Treatment of waste water or sewer by means of physical, chemical or biological processes"
839,38110, Collection of non-hazardous waste
840,38120, Collection of hazardous waste
841,38210, Treatment and disposal of non-hazardous waste
842,38221," Treatment and disposal of toxic live or dead animals and other, contaminated waste, disposal of used goods; incineration of hazardous waste"
843,38222," Treatment, disposal and storage of radioactive nuclear waste"
844,38300, Materials recovery
845,39000, Remediation activities and other waste management services
846,41001, Construction of buildings carried out on own-account basis or on a fee or contract basis
847,41002," Activities relating to alteration, addition, repair, maintenance carried out on own-account basis or on a fee or contract basis"
848,41003, Assembly and erection of prefabricated constructions on the site
849,42101," Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and subways"
850,42102, Construction and maintenance of railways and rail-bridges
851,42103, Construction and maintenance of airfield runways
852,42201, Construction and maintenance of power plants
853,42202," Construction/erection and maintenance of power, telecommunication and transmission lines"
854,42203, Construction of long distance pipelines or urban pipelines
855,42204," Construction and maintenance of water main and line connection, water reservoirs including irrigation system (canal)"
856,42205, Construction and repair of sewer systems including sewage disposal plants and pumping stations
857,42206, Water well drilling
858,42209, Construction of utility projects n.e.c.
859,42901, Construction and maintenance of industrial facilities such as refineries chemical plants etc.
860,42902," Construction of waterways, harbours and river works, dredging of waterways"
861,42903, Construction of dams etc.
862,42904, Construction of outdoor sports facilities
863,42909, Other civil engineering projects n.e.c.
864,43110, Demolition
865,43121, Site preparation for mining including overburden removal and other development and preparation of mineral properties and sites except oil and gas sites
866,43122," Site preparation including drilling, boring and core sampling for construction, geophysical, geological or similar purposes"
867,43123," Clearing of building sites, earth moving: excavation, landfill, levelling and grading of construction sites, trench digging, rock removal, blasting etc."
868,43129, Other site preparation activities n.e.c.
869,43211, Installation of electrical wiring and fittings
870,43212," Installation of telecommunications wiring, computer network and cable television wiring, including fibre optic, satellite dishes"
871,43213, Installation of street lighting and electrical signals
872,43214, Installation of fire alarm system and burgler alarm system
873,43219, Other electrical electrical installation n.e.c.
874,43221," Installation of plumbing for water, gas and sanitation equipments"
875,43222," Installation of heating systems (electric, gas and oil), furnaces, cooling towers, non-electric solar energy collectors etc."
876,43229," Other plumbing, heat and air conditioning activities n.e.c."
877,43291," Installation of elevators, escalators"
878,43292," Installation of thermal, sound or vibration insulation system in buildings"
879,43299, Other construction projects n.e.c.
880,43301," Installation of doors, windows, door and window frames, fitted kitchens, of wood or other materials"
881,43302," Interior completion such as ceilings, wooden wall coverings, movable partitions etc. ; Laying of parquet and other wood floor coverings, carpets and linoleum, wallpaper; tiling with ceramic, concrete or cut stone ceramic etc."
882,43303," Interior and exterior painting, glazing, plastering and decorating of buildings or civil engineering structures"
883,43309, Other building completion and finishing
884,43900, Other specialized construction activities
885,45101," Wholesale and retail sale of new vehicles (passenger motor vehicles, ambulances, minibuses, jeeps, trucks, trailers and semi-trailers)"
886,45102, Wholesale and retail sale of used motor vehicles
887,45200, Maintenance and repair of motor vehicles
888,45300, Sale of motor vehicle parts and accessories
889,45401," Wholesale or retail sale of new motorcycles, mopeds, scooters and three wheelers"
890,45402," Wholesale or retail sale of parts and accessories of motorcycles, mopeds, scooters and three wheelers"
891,45403," Maintenance and repair of motor cycles, mopeds, scooters and three wheelers"
892,46101," Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live animals, food, beverages, intoxicants and textiles"
893,46102," Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals"
894,46103," Activities of commission agents dealing in wholesale trade in machinery & equipment, other than transport machinery"
895,46109, Activities of other commission agents n.e.c. (including commission agents working in emerging areas for wholesale trade
896,46201, Wholesale of cereals & pulses
897,46202," Wholesale of un-manufactured tobacco, paan (betel leaf), opium, ganja, cinchona etc"
898,46203, Wholesale of live animals and poultry
899,46204," Wholesale of straw, fodder & other animal/poultry feed"
900,46205, Wholesale of flowers and plants
901,46206," Wholesale of hides, skins and leather"
902,46207, Wholesale of oilseed oleaginous fruits
903,46208, Wholesale of sugarcane
904,46209, Whole sale of other agriculture raw materials n.e.c.
905,46301, Wholesale of fruits & vegetables
906,46302, Wholesale of raw milk & dairy products
907,46303," Wholesale of meat, fish & eggs"
908,46304," Wholesale of confectionery, bakery products and beveragesotherthan intoxicants"
909,46305," Wholesale of edible oils, fats, sugar and processed/manufactured spices etc."
910,46306," Wholesale of tea, coffee & cocoa"
911,46307, Wholesale of manufactured tobacco & tobacco products
912,46308, Wholesale of intoxicants like wines and liquors
913,46309, Wholesale of other basic/manufactured food stuffs n.e.c.
914,46411," Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes"
915,46412, Wholesale of umbrella and clothing accessories
916,46413, Wholesale of footwear
917,46419, Wholesale of other clothing items n.e.c.
918,46491," Wholesale of toiletry, perfumery and cosmetics"
919,46492," Wholesale of metal, porcelain and glass utensils; crockery and chinaware"
920,46493, Wholesale of furniture and fixtures
921,46494," Wholesale of watches, clocks and optical goods"
922,46495," Wholesale of recorded audio or video tapes, CDs and DVDs"
923,46496," Wholesale of paper and other stationery items; books, magazinesand newspapers"
924,46497, Wholesale of pharmaceutical and medical goods
925,46498, Wholesale of precious metals and jewellery
926,46499," Wholesale of other households goods, n.e.c. [Includes wholesaleof household equipment and appliances, n.e.c; photographic equipment, games, toys and sports goods (also includes bicycles, cycle rickshaw, tonga & other non-mechanised vehicles); leather goods and travel accessories; cleaning materials etc.]"
927,46511, Wholesale of computers and computer peripheral equipment
928,46512, Wholesale of software
929,46521," Wholesale of electronic valves and tubes, semiconductor devices, microchips, integrated circuits and printed circuits"
930,46522," Wholesale of radio, television and other consumer electronics including CD/ DVD players and recorders"
931,46523," Wholesale of blank audio and video tapes and diskettes, magnetic and optical disks (CDs, DVDs) and parts"
932,46524," Wholesale of telephone, mobile phone and communications equipment and parts"
933,46529, Wholesale of other electronic equipments and parts thereof
934,46531, Wholesale of tractors used in agriculture and forestry
935,46532," Wholesale of ploughs, manure spreaders, seeders, harvesters, threshers"
936,46533," Wholesale of milking machines, poultry-keeping machines, bee-keeping machines"
937,46539, Wholesale of other agriculture machinery n.e.c.
938,46591," Wholesale of office machinery and equipment, except computers and computer peripheral equipment"
939,46592," Wholesale of transport equipment except motor vehicles, motorcycles and bicycles"
940,46593," Wholesale of electrical machinery, equipment and supplies, n.e.c."
941,46594, Wholesale of construction and civil engineering machinery and equipment
942,46595," Wholesale of machinery and equipment for the textile, wood and metal industries etc."
943,46596," Wholesale of scientific, medical and surgical machinery and equipment"
944,46599," Wholesale of other machinery, equipment and supplies n.e.c. including computer-controlled machine tools and computer-controlled sewing and knitting machines"
945,46610," Wholesale of solid, liquid and gaseous fuels and related products"
946,46620, Wholesale of metals and metal ores
947,46631, Wholesale of wood in the rough and products of primary processing of wood
948,46632," Wholesale of construction materials (sand, gravel etc.)"
949,46633," Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools such as hammers, saws, screwdrivers and other hand tools"
950,46634," Wholesale of paints, varnishes, and lacquers"
951,46639, Wholesale of other construction equipment n.e.c.
952,46691," Wholesale of industrial chemicals,"
953,46692, Wholesale of fertilizers and agrochemical products
954,46693, Wholesale of plastic materials in primary forms
955,46694, Wholesale of rubber
956,46695, Wholesale of textile fibres etc.
957,46696, Wholesale of paper in bulk
958,46697, Wholesale of precious stones
959,46699, Wholesale of metal and non-metal waste and scrap n.e.c.
960,46901, Wholesale trade via e-commerce excluding activities of commission agents
961,46909, Other non-specialised wholesale trade n.e.c.
962,47110," Retail sale in non-specialized stores with food, beverages or tobacco predominating"
963,47190, Other retail sale in non-specialized stores
964,47211," Retail sale of cereals and pulses, tea, coffee, spices and flour"
965,47212, Retail sale of fresh or preserved fruit and vegetables
966,47213," Retail sale of meat, meat products, poultry products, fish, other seafood and products thereof"
967,47214," Retail sale of bakery products, dairy products and eggs"
968,47215, Retail sale of sugar confectionery and sweetmeat
969,47219, Retail sale of other food products n.e.c.
970,47221, Retail sale of alcoholic beverages not consumed on the spot
971,47222, Retail sale of non-alcoholic beverages including icecream not for consumption on the premises
972,47230, Retail sale of tobacco products in specialized stores
973,47300, Retail sale of automotive fuel in specialized stores [includes the activity of petrol filling stations.
974,47411, Retail sale of computers and computer peripherals
975,47412, Retail sale of video games
976,47413, Retail sale of non-customized software
977,47414, Retail sale of telecommunication equipment
978,47420, Retail sale of audio and video equipment in specialized stores
979,47510, Retail sale of textiles in specialized stores
980,47521," Retail sale of building material such as bricks, wood, sanitary equipment"
981,47522," Retail sale of hardware including paints, varnishes and lacquers and do-it- yourself materials and equipments"
982,47523, Retail sale of glass
983,47531," Retail sale of carpets, rugs, curtains and net curtains"
984,47532, Retail sale of wallpaper and floor coverings
985,47591, Retail sale of household furniture
986,47592," Retail sale of household utensils and cutlery, crockery, glassware, china and pottery"
987,47593," Retail sale of gas stoves, cooking/kitchen appliances"
988,47594," Retail sale of refrigerators, washing machines and other electrical/electronic household goods"
989,47595, Retail sale of musical instruments
990,47599," Retail sale of other household appliances n.e.c. ( security systems, such as locking devices, safes, and vaults, without installation or maintenance services etc. , wooden, cork and wickerwork goods, sewing and knitting machine and other household utensils and durables n.e.c.)"
991,47611, Retail sale of books of all kinds
992,47612, Retail sale of newspapers and magazines
993,47613," Retail sale of stationery office supplies such as pens, pencils, paper etc."
994,47620, Retail sale of music and video recordings in specialized stores
995,47630, Retail sale of sporting equipment in specialized stores
996,47640, Retail sale of games and toys in specialized stores
997,47711," Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc."
998,47712, Retail sale of articles of fur and artificial fur
999,47713, Retail sale of footwear
1000,47714, Retail sale of leather goods and travel accessories of leather and leather substitutes
1001,47721," Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles"
1002,47722, Retail sale of perfumery and cosmetic articles
1003,47731," Retail sale of photographic, optical and precision equipment"
1004,47732, Retail sale of watches and clocks
1005,47733, Retail sale of jewellery and immitation jewellery
1006,47734," Retail sale of flowers, plants, pet animals and pet food"
1007,47735," Retail sale of souvenirs, craftwork and religious articles, stamps and coins"
1008,47736," Retail sale of household fuel oil, bottled gas, coal and fuel wood"
1009,47737," Retail sale of seeds, fertilisers, pesticides, machinery equipments and hand tools"
1010,47738, Activities of commercial art galleries
1011,47739," Other retail sale of new goods in specialized stores n.e.c (weapons and ammunition, non food products)"
1012,47740, Retail sale of second-hand goods
1013,47810," Retail sale via stalls and markets of food, beverages and tobacco products"
1014,47820," Retail sale via stalls and markets of textiles, clothing and footwear"
1015,47890, Retail sale via stalls and markets of other goods
1016,47911, Retail sale via mail order houses
1017,47912, Retail sale via e-commerce
1018,47990," Other retail sale not in stores, stalls or markets"
1019,49110, Passenger rail transport
1020,49120, Freight rail transport
1021,49211,  Urban or suburban passenger bus transport (excluding chartered bus)
1022,49212, Urban or suburban tramways
1023,49213, Urban or suburban underground or elevated rillways
1024,49219, Other urban or suburban passenger transport n.e.c.
1025,49221, Long-distance bus services
1026,49222," Charters, excursions and other occasional coach services"
1027,49223, Rental of private cars with driver
1028,49224, Taxi operation
1029,49225, Operation of school buses and buses for transport of employees
1030,49226, Passenger transport by man- or animal-drawn vehicles
1031,49229, Other non urban passenger land transport n.e.c.
1032,49231, Motorised road freight transport
1033,49232, Non-motorised road freight transport
1034,49300, Transport via pipeline
1035,50111, Sea and coastal ferry service
1036,50112," Sea and coastal water cruise, water taxis and other sight seeing boats"
1037,50113, Sea and coastal long distance water transport
1038,50119, Other sea and coastal water transport n.e.c.
1039,50120, Sea and coastal freight water transport
1040,50211, River ferry service
1041,50212," River cruise, water taxi, boat services"
1042,50213, Long distance river water transport
1043,50219, Other inland water transport n.e.c.
1044,50220, Inland freight water transport
1045,51101, Passenger airways
1046,51102, Helicopter services
1047,51109, Other passenger air-transport n.e.c
1048,51201, Freight air transport services
1049,51202, Launching of satellites and space vehicles and space transport
1050,52101, Warehousing of refrigerated (cold storage)
1051,52102, Warehousing non-refrigerated
1052,52109," Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade zones]"
1053,52211, Car parking including motorcycle and bicycle parking
1054,52212," Support service at railway stations, bus stations, bridges etc."
1055,52213, Switching and shunting
1056,52219, Other land transport services n.e.c
1057,52220, Service activities incidental to water transportation
1058,52231," Activities related to air transport of passengers, animals or freight"
1059,52232, Firefighting and fire-prevention services at airports
1060,52241, Cargo handling incidental to land transport
1061,52242, Cargo handling incidental to water transport
1062,52243, Cargo handling incidental to air transport
1063,52291, Activities of travel agents and tour operators
1064,52292, Activities of shipping cargo agents
1065,52293, Activities of movers and packers
1066,52294, Weighing of goods
1067,53100, Postal activities
1068,53200, Courier activities
1069,55101," Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats"
1070,55102," Provision of short term lodging facilities to members of a particular organisition such as govt. guest houses, company guest houses, circuit houses and similar establishments"
1071,55109," Provision of short stay accommodation n.e.c. (e.g. holiday homes, private guest houses etc.)"
1072,55200," Camping grounds, recreational vehicle parks and trailer parks"
1073,55901," Accommodation provided by student residences, school dormitories"
1074,55902, Worker hostels and boarding houses
1075,56101, Restaurants without bars
1076,56102," Cafeterias, fast-food restaurants and other food preparation in market stalls"
1077,56103," Ice cream mobile vendors, mobile food carts"
1078,56104," Restaurant and bar activities connected to transportation, when carried out by separate units"
1079,56210, Event catering
1080,56291, Activities of food service contractors (e.g. for transportation companies)
1081,56292," Operation of canteens or (e.g. for factories, offices, hospitals or schools) on a concession basis"
1082,56301, Bars and Restaurants with bars
1083,56302, Tea/coffee shops
1084,56303, Fruit juice bars
1085,56304, Mobile beverage vendors
1086,58111," Publishing of books, brochures, leaflets and similar publications, including publishing encyclopedias (including on CD-ROM)"
1087,58112," Publishing of atlases, maps and charts"
1088,58113, Publishing of audio books
1089,58121, Publishing of mailing lists and telephone directories
1090,58122," Publishing of other directories and compilations, such as case law, pharmaceutical compendia etc."
1091,58131, Publishing of newspapers
1092,58132, Publishing of journals and periodicals
1093,58191, On-line publishing of statistics and other information
1094,58199, Other publishing activities (including on-line) n.e.c.
1095,58201, Publishing of operating systems and system software
1096,58202, Publishing of operating business and other applications
1097,58203, Publishing of computer games for all platforms
1098,59111, Production of motion picture
1099,59112, Video production
1100,59113, Production of television programmes or television commercials
1101,59121, Post production activities of motion picture
1102,59122, Post production activities of television programmes or television commercials
1103,59123, Post production activities of video production
1104,59131, Motion picture distribution
1105,59132," Distribution of video tapes, CD and DVDs"
1106,59133, Distribution of television programme
1107,59141," Motion picture or video tape projection in cinemas, in the open air or in other projection facilities"
1108,59142, Activities of cine-clubs
1109,59201, Activities of sound recording in studio or elsewhere
1110,59202, Activities of misic publishing
1111,60100, Radio broadcasting
1112,61101," Activities of basic telecom services: telephone, telex and telegraph (includes the activities of STD/ISD booths)"
1113,61102, Maintenance of telecom network
1114,61103, Activities of the cable operators
1115,61104, Activities of providing internet access by the operator of the wired infrastructure
1116,61201, Activities of Internet access by the operator of the wireless infrastructure
1117,61202," Activities of maintaining and operating pageing, cellur and other tetecommunication networks"
1118,61209, Activities of other wireless telecommunications activities
1119,61301, Activity of Internet access by the operator of the satellite infrastructure
1120,61309, Other satellite telecommunications activities
1121,61900, Other telecommunications activities
1122,62011," Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing"
1123,62012, Web-page designing
1124,62013, Providing software support and maintenance to the clients
1125,62020, Computer consultancy and computer facilities management activities
1126,62091, Software installation
1127,62092, Computer disaster recovery
1128,62099, Other information technology and computer service activities n.e.c
1129,63111, Data processing activities including report writing
1130,63112, Web hosting activities
1131,63113, Providing general time-share mainframe facilities to clients
1132,63114, Providing data entry services
1133,63119," Other data processing, hosting and related activities n.e.c."
1134,63121, Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an easily searchable format
1135,63122," Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content"
1136,63910, News agency activities
1137,63991, Telephone based information services
1138,63992, Activities of cyber café
1139,63999, Other information service activities n.e.c.
1140,64110, Central banking
1141,64191," Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses"
1142,64192, Activities of specialized institutions granting credit for house purchases that also take deposits
1143,64199, Other monetary intermediation services n.e.c.
1144,64200, Activities of holding companies
1145,64300," Trusts, funds and other financial vehicles"
1146,64910, Financial leasing
1147,64920, Other credit granting
1148,64990," Other financial service activities, except insurance and pension funding activities, n.e.c. exCept CompulSory SoCial SeCurity"
1149,65110, Life insurance
1150,65120, Non-life insurance
1151,65200, Reinsurance
1152,65300, Pension funding
1153,66110, Administration of financial markets
1154,66120, Security and commodity contracts brokerage
1155,66190, Activities auxiliary to financial service activities n.e.c.
1156,66210, Risk and damage evaluation
1157,66220, Activities of insurance agents and brokers
1158,66290, Other activities auxiliary to insurance and pension funding
1159,66301, Management of mutual funds
1160,66302, Management of pension funds
1161,66309, Management of other investment funds
1162,68100, Real estate activities with own or leased property
1163,68200, Real estate activities on a fee or contract basis
1164,69100, Legal activities
1165,69201," Accounting, bookkeeping and auditing activities"
1166,69202, Tax consultancy
1167,70100, Activities of head offices
1168,70200, Management consultancy activities teChniCal teStinG anD analySiS
1169,71100, Architectural and engineering activities and related technical consultancy
1170,71200, Technical testing and analysis
1171,72100, Research and experimental developmenton naturalsciences engineering
1172,72200, Research and experimental development on social sciences and humanities
1173,73100, Advertising
1174,73200, Market research and public opinion polling
1175,74101," Fashion design related to textiles, wearing apparel, shoes, jewelry, furniture and other fashion goods as well as other personal or household goods"
1176,74102, Activities of interior decorators
1177,74103, Services of graphic designers
1178,74109, Other specialized design activities n.e.c.
1179,74201, Commercial and consumer photograph production
1180,74202, Photographic film processing
1181,74203, Activities of photojournalists
1182,74204, Microfilming of documents
1183,74209, Other photographic activities
1184,74901, Business brokerage activities
1185,74902, Patent brokerage activities
1186,74903, Weather forecasting activities
1187,74904, Security consulting
1188,74909," Other professional, scientific and technical activities n.e.c."
1189,75000, Veterinary activities
1190,77100, Renting and leasing of motor vehicles
1191,77210, Renting and leasing of recreational and sports goods
1192,77220, Renting of video tapes and disks
1193,77291," Renting of tent, furniture, pottery and glass, kitchen and tableware, utensils, household electrical and electronic equipments etc."
1194,77292," Renting of books, journals and magazines"
1195,77293," Renting of jewellery, musical instruments, scenery and costumes"
1196,77294," Renting of textiles, wearing apparel, footwear, sleeping bag, rucksack, household goods"
1197,77299, Renting of other personal and household goods n.e.c.
1198,77301," Renting and operational leasing, without operator, of other machinery and equipment that are generally used as capital goods by industries"
1199,77302, Renting and operational leasing of agricultural and forestry machinery and equipment without operator
1200,77303, Renting andoperationalleasingofwater-transportequipmentwithout machinery and equipment without operator
1201,77304, Renting and operational leasing of office machinery and equipment without operator
1202,77305, Renting and operational leasing of land-transport equipment (other than motor vehicles) without driversand equipmentn.e.c. without
1203,77306, Renting andoperationalleasingof operator
1204,77307, Renting and operational leasing of air transport equipment without operator
1205,77308," Renting of other tangible goods with out operator (includes renting of containers, pallets, animals etc.)"
1206,77309, Renting andleasing of othermachinery operator
1207,77400, Leasing of nonfinancial intangible assets
1208,78100, Activities of employment placement agencies
1209,78200, Temporary employment agency activities
1210,78300, Human resources provision and management of human resources functions reServation ServiCe aCtivitieS
1211,79110, Travel agency activities
1212,79120, Tour operator activities
1213,79900, Other reservation service and related activities
1214,80100, Private security activities
1215,80200, Security systems service activities
1216,80300, Investigation activities
1217,81100, Combined facilities support activities
1218,81210, General cleaning of buildings
1219,81291," Cleaning of trains buses, planes etc."
1220,81292, Cleaning of industrial machinery
1221,81299, Other building and industrial cleaning activities
1222,81300, Landscape care and maintenance service activities
1223,82110, Combined office administrative service activities
1224,82191," Photocopying, duplicating and bluprinting services"
1225,82192," Document preparation, typing, word processing and desktop publishing sevices"
1226,82199, Other specialised office support services activities
1227,82200, Activities of call centres
1228,82300, Organization of conventions and trade shows
1229,82910, Activities of collection agencies and credit bureaus
1230,82920, Packaging activities
1231,82990, Other business support service activities n.e.c.
1232,84111, General public service activities relating to executive
1233,84112, General public service activities relating to legislation
1234,84119, General public service activities n.e.c.
1235,84121, Regulatory agencies relating to health
1236,84122, Regulatory agencies relating to education
1237,84129, Regulatory agencies relating to other social services n.e.c. excluding social security
1238,84130, Regulation of and contribution to more efficient operation of businesses
1239,84210, Foreign affairs
1240,84220, Defence activities
1241,84300, Compulsory social security activities
1242,85101, Pre-primary education (education preceding the first level)
1243,85102, Primary education (education at the first level)
1244,85103, Provision of literacy programmes for adults at primary level
1245,85104, Special education for handicapped students at primary lavel
1246,85109, Other primary education activities n.e.c.
1247,85211, General school education in the first stage of the secondary level (up to X th standard) without any special subject pre-requisite
1248,85212," General school education in the second stage of the secondary level (Senior/ Higher secondary) giving, in principle, access to higher education"
1249,85213, Special education for handicapped students at first stage or second stage of secondary level
1250,85221, Technical and vocational education below the level of higher education except for handicapped
1251,85222, Technical and vocational education for handicapped students below the level of higher education
1252,85223, Professional motor driving school
1253,85301," Higher education in science, commerce, humanity and fine arts leading to a university degree or equivalent"
1254,85302, Higher education in engineering / other technical courses leading to a university degree or equivalent
1255,85303, Higher education in medical/bio-technology and related courses leading to a university degree or equivalent
1256,85304, Higher education in management courses leading to a degree or equivalent
1257,85305, Higher education in law leading to a degree or equivalent
1258,85306, Higher education in other professional/ vocational courses leading to a degree or equivalent
1259,85307, Higher education not leading to a degree or equivalent
1260,85410, Sports and recreation education
1261,85420, Cultural education
1262,85491, Academic tutoring services
1263,85492, Professional examination review courses
1264,85493, Flying school
1265,85499, Other educational services n.e.c.
1266,85500, Educational support services
1267,86100, Hospital activities
1268,86201, Medical practice activities
1269,86202, Dental practice activities
1270,86901, Activities of Ayurveda practitioners
1271,86902, Activities of Unani practitionersn.e.c.(includingindependentambulance
1272,86903, Activities of homeopaths
1273,86904," Activities of nurses, masseures, physiotherapists or other para-medical practitioners"
1274,86905, Activities of independent diagnostic/pathological laboratories
1275,86906, Activities of independent blood banks
1276,86909, Other humanhealthactivities activities)
1277,87100, Nursing care facilities
1278,87200," Residential care activities for mental retardation, mental health and substance abuse"
1279,87300, Residential care activities for the elderly and disabled
1280,87900, Other residential care activities n.e.c.
1281,88100, Social work activities without accommodation for the elderly and disabled
1282,88230, Public order and safety activities
1283,88900, Other social work activities without accommodation n.e.c.
1284,90001, Stage production and related activities
1285,90002, Operation of concert and theatre halls and other arts facilities
1286,90003," Activities of sculptors, painters, cartoonists, engravers, etchers etc."
1287,90004," Activities of individual writers, for all subjects including fictional writing, technical writing etc."
1288,90005, Activities of independent journalists
1289,90006, Activities of restoring of works of art such as paintings etc.
1290,90009, Other creative arts and and entertainment activities
1291,91010, Library and archives activities
1292,91020, Museums activities and operation of historical sites and buildings
1293,91030, Botanical and zoological gardens and nature reserves activities
1294,92001, Wholesale of lottery tickets
1295,92002, Retail sale of lottery tickets
1296,93110, Operation of sports facilities
1297,93120, Activities of sports clubs
1298,93190, Other sports activities
1299,93210, Activities of amusement parks and theme parks
1300,93290, Other amusement and recreation activities n.e.c.
1301,94110, Activities of business and employers membership organisations
1302,94120, Activities of professional membership organizations
1303,94200, Activities of trade unions
1304,94910, Activities of religious organizations activities of political organizations
1305,94920, Activities of political organizations
1306,94990, Activities of other membership organizations n.e.c.
1307,95111, Repair and maintenance of computer and peripheral equipment
1308,95112," Repair and maintenance of automated terminals like automatic teller machines, point-of-sale (POS) terminals, not mechanically operated"
1309,95120, Repair of communication equipment
1310,95210, Repair of consumer electronics
1311,95221," Repair and servicing of household appliances ( refrigerators, stoves, washing machines, clothes dryers, room air conditioners, etc. )"
1312,95222," Repair and servicing of home and garden equipment such lawn mowerrs, edgers, trimmers etc."
1313,95230, Repair of footwear and leather goods
1314,95240, Repair of furniture and home furnishings
1315,95291, Repair of bicycles
1316,95292, Repair and alteration of clothing
1317,95293, Repair and alteration of jewellery
1318,95294," Repair of watches, clocks and their parts"
1319,95295, Repair of musical instruments
1320,95299, Repair of other personal and household goods n.e.c.
1321,95494, Motor driving school (non-professional)
1322,96010, Washing and (dry-) cleaning of textile and fur products
1323,96020, Hairdressing and other beauty treatment
1324,96030, Funeral and related activities
1325,96091," Social activities such as escort services, marriage bureaus"
1326,96092," Pet care services such as boarding, grooming and training pets etc."
1327,96903," Shoe shiners, porters, valet car parkers etc."
1328,96904," Coin-operated personal service machines such as photo booths, weighing machines, blood pressure checking machines etc."
1329,96905," Activities of sauna and steam baths, massage salons etc."
1330,96906, Astrological and spiritualistsâ€™ activities
1331,96907," Activities of aaya, dhai, governess, baby sitter etc."
1332,96908," General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc. GOODS AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE"
1333,97000, Activities of households as employers of domestic personnel oF private houSeholDS For oWn uSe
1334,98100, Undifferentiated goods-producing activities of private households for own use
1335,98200, Undifferentiated service-producing activities of private households for own use
1336,99000, Activities of extraterritorial organizations and bodies
